date,product_code,sales,category,sub_category,brand,region,mrp,discount,rating
2023-10-01,P001,550,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2023-11-01,P001,600,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2023-12-01,P001,450,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2024-01-01,P001,485,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2024-02-01,P001,465,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2024-03-01,P001,548,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2024-04-01,P001,520,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2024-05-01,P001,482,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2024-06-01,P001,477,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2024-07-01,P001,447,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2024-08-01,P001,414,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2024-09-01,P001,354,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2024-10-01,P001,650,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2024-11-01,P001,700,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2024-12-01,P001,529,Electronics,Mobiles,Samsung,North,15000,0.1,4.5
2020-01-01,P002,135,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2020-02-01,P002,187,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2020-03-01,P002,180,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2020-04-01,P002,171,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2020-05-01,P002,201,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2020-08-01,P002,90,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2020-09-01,P002,65,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2020-10-01,P002,200,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2020-11-01,P002,250,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2020-12-01,P002,220,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2021-01-01,P002,230,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2021-02-01,P002,321,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2021-03-01,P002,216,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2021-04-01,P002,312,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2021-05-01,P002,261,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2021-06-01,P002,206,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2021-07-01,P002,174,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2021-08-01,P002,82,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2021-09-01,P002,129,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2021-10-01,P002,300,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2021-11-01,P002,350,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2021-12-01,P002,240,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2022-01-01,P002,288,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2022-02-01,P002,341,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2022-03-01,P002,403,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2022-04-01,P002,379,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2022-05-01,P002,323,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2022-06-01,P002,312,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2022-07-01,P002,256,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2022-08-01,P002,252,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2022-09-01,P002,195,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2022-10-01,P002,400,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2022-11-01,P002,450,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2022-12-01,P002,293,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2023-01-01,P002,402,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2023-02-01,P002,445,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2023-03-01,P002,457,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2023-04-01,P002,443,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2023-05-01,P002,378,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2023-06-01,P002,365,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2023-07-01,P002,324,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2023-08-01,P002,280,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2023-09-01,P002,293,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2023-10-01,P002,500,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2023-11-01,P002,550,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2023-12-01,P002,423,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2024-01-01,P002,483,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2024-02-01,P002,516,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2024-03-01,P002,481,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2024-04-01,P002,531,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2024-05-01,P002,504,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2024-06-01,P002,533,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2024-07-01,P002,410,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2024-08-01,P002,395,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2024-09-01,P002,378,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2024-10-01,P002,600,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2024-11-01,P002,650,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2024-12-01,P002,522,Clothing,Shirts,Peter England,West,2500,0.2,4.2
2020-01-01,P003,173,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2020-02-01,P003,166,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2020-03-01,P003,255,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2020-04-01,P003,164,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2020-05-01,P003,194,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2020-06-01,P003,199,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2020-07-01,P003,60,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2020-11-01,P003,270,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2020-12-01,P003,176,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2021-01-01,P003,199,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2021-02-01,P003,288,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2021-03-01,P003,267,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2021-04-01,P003,334,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2021-05-01,P003,234,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2021-06-01,P003,205,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2021-07-01,P003,196,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2021-08-01,P003,105,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2021-09-01,P003,142,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2021-10-01,P003,320,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2021-11-01,P003,370,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2021-12-01,P003,261,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2022-01-01,P003,320,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2022-02-01,P003,379,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2022-03-01,P003,339,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2022-04-01,P003,330,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2022-05-01,P003,355,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2022-06-01,P003,305,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2022-07-01,P003,260,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2022-08-01,P003,233,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2022-09-01,P003,196,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2022-10-01,P003,420,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2022-11-01,P003,470,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2022-12-01,P003,315,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2023-01-01,P003,450,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2023-02-01,P003,451,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2023-03-01,P003,421,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2023-04-01,P003,470,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2023-05-01,P003,391,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2023-06-01,P003,401,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2023-07-01,P003,369,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2023-08-01,P003,280,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2023-09-01,P003,327,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2023-10-01,P003,520,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2023-11-01,P003,570,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2023-12-01,P003,475,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2024-01-01,P003,468,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2024-02-01,P003,496,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2024-03-01,P003,512,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2024-04-01,P003,507,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2024-05-01,P003,500,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2024-06-01,P003,469,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2024-07-01,P003,424,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2024-08-01,P003,411,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2024-09-01,P003,380,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2024-10-01,P003,620,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2024-11-01,P003,670,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2024-12-01,P003,581,Home & Kitchen,Cookware,Prestige,South,3000,0.15,4.8
2020-01-01,P004,120,Books,Fiction,Penguin,East,500,0.05,4.6
2020-02-01,P004,130,Books,Fiction,Penguin,East,500,0.05,4.6
2020-03-01,P004,140,Books,Fiction,Penguin,East,500,0.05,4.6
2020-04-01,P004,150,Books,Fiction,Penguin,East,500,0.05,4.6
2020-05-01,P004,160,Books,Fiction,Penguin,East,500,0.05,4.6
2020-06-01,P004,170,Books,Fiction,Penguin,East,500,0.05,4.6
2020-07-01,P004,180,Books,Fiction,Penguin,East,500,0.05,4.6
2020-08-01,P004,190,Books,Fiction,Penguin,East,500,0.05,4.6
2020-09-01,P004,200,Books,Fiction,Penguin,East,500,0.05,4.6
2020-10-01,P004,300,Books,Fiction,Penguin,East,500,0.05,4.6
2020-11-01,P004,350,Books,Fiction,Penguin,East,500,0.05,4.6
2020-12-01,P004,220,Books,Fiction,Penguin,East,500,0.05,4.6
2021-01-01,P004,230,Books,Fiction,Penguin,East,500,0.05,4.6
2021-04-01,P004,260,Books,Fiction,Penguin,East,500,0.05,4.6
2021-05-01,P004,270,Books,Fiction,Penguin,East,500,0.05,4.6
2021-06-01,P004,280,Books,Fiction,Penguin,East,500,0.05,4.6
2021-07-01,P004,290,Books,Fiction,Penguin,East,500,0.05,4.6
2021-08-01,P004,300,Books,Fiction,Penguin,East,500,0.05,4.6
2021-09-01,P004,310,Books,Fiction,Penguin,East,500,0.05,4.6
2021-10-01,P004,400,Books,Fiction,Penguin,East,500,0.05,4.6
2021-11-01,P004,450,Books,Fiction,Penguin,East,500,0.05,4.6
2021-12-01,P004,330,Books,Fiction,Penguin,East,500,0.05,4.6
2022-01-01,P004,340,Books,Fiction,Penguin,East,500,0.05,4.6
2022-02-01,P004,350,Books,Fiction,Penguin,East,500,0.05,4.6
2022-03-01,P004,360,Books,Fiction,Penguin,East,500,0.05,4.6
2022-04-01,P004,370,Books,Fiction,Penguin,East,500,0.05,4.6
2022-05-01,P004,380,Books,Fiction,Penguin,East,500,0.05,4.6
2022-06-01,P004,390,Books,Fiction,Penguin,East,500,0.05,4.6
2022-07-01,P004,400,Books,Fiction,Penguin,East,500,0.05,4.6
2022-08-01,P004,410,Books,Fiction,Penguin,East,500,0.05,4.6
2022-09-01,P004,420,Books,Fiction,Penguin,East,500,0.05,4.6
2022-10-01,P004,500,Books,Fiction,Penguin,East,500,0.05,4.6
2022-11-01,P004,550,Books,Fiction,Penguin,East,500,0.05,4.6
2022-12-01,P004,430,Books,Fiction,Penguin,East,500,0.05,4.6
2023-01-01,P004,440,Books,Fiction,Penguin,East,500,0.05,4.6
2023-02-01,P004,450,Books,Fiction,Penguin,East,500,0.05,4.6
2023-03-01,P004,460,Books,Fiction,Penguin,East,500,0.05,4.6
2023-04-01,P004,470,Books,Fiction,Penguin,East,500,0.05,4.6
2023-05-01,P004,480,Books,Fiction,Penguin,East,500,0.05,4.6
2023-06-01,P004,490,Books,Fiction,Penguin,East,500,0.05,4.6
2023-07-01,P004,500,Books,Fiction,Penguin,East,500,0.05,4.6
2023-08-01,P004,510,Books,Fiction,Penguin,East,500,0.05,4.6
2023-09-01,P004,520,Books,Fiction,Penguin,East,500,0.05,4.6
2023-10-01,P004,600,Books,Fiction,Penguin,East,500,0.05,4.6
2023-11-01,P004,650,Books,Fiction,Penguin,East,500,0.05,4.6
2023-12-01,P004,530,Books,Fiction,Penguin,East,500,0.05,4.6
2024-01-01,P004,540,Books,Fiction,Penguin,East,500,0.05,4.6
2024-02-01,P004,550,Books,Fiction,Penguin,East,500,0.05,4.6
2024-03-01,P004,560,Books,Fiction,Penguin,East,500,0.05,4.6
2024-04-01,P004,570,Books,Fiction,Penguin,East,500,0.05,4.6
2024-05-01,P004,580,Books,Fiction,Penguin,East,500,0.05,4.6
2024-06-01,P004,590,Books,Fiction,Penguin,East,500,0.05,4.6
2024-07-01,P004,600,Books,Fiction,Penguin,East,500,0.05,4.6
2024-08-01,P004,610,Books,Fiction,Penguin,East,500,0.05,4.6
2024-09-01,P004,620,Books,Fiction,Penguin,East,500,0.05,4.6
2024-10-01,P004,700,Books,Fiction,Penguin,East,500,0.05,4.6
2024-11-01,P004,750,Books,Fiction,Penguin,East,500,0.05,4.6
2024-12-01,P004,630,Books,Fiction,Penguin,East,500,0.05,4.6
2020-01-01,P005,80,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2020-02-01,P005,85,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2020-03-01,P005,90,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2020-04-01,P005,95,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2020-05-01,P005,100,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2020-06-01,P005,105,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2020-07-01,P005,110,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2020-08-01,P005,115,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2020-09-01,P005,120,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2020-10-01,P005,200,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2020-11-01,P005,220,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2021-02-01,P005,140,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2021-03-01,P005,145,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2021-04-01,P005,150,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2021-05-01,P005,155,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2021-06-01,P005,160,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2021-07-01,P005,165,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2021-08-01,P005,170,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2021-09-01,P005,175,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2021-10-01,P005,250,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2021-11-01,P005,270,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2021-12-01,P005,180,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2022-01-01,P005,185,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2022-02-01,P005,190,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2022-03-01,P005,195,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2022-04-01,P005,200,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2022-05-01,P005,205,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2022-06-01,P005,210,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2022-07-01,P005,215,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2022-08-01,P005,220,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2022-09-01,P005,225,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2022-10-01,P005,300,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2022-11-01,P005,320,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2022-12-01,P005,230,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2023-01-01,P005,235,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2023-02-01,P005,240,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2023-03-01,P005,245,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2023-04-01,P005,250,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2023-05-01,P005,255,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2023-06-01,P005,260,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2023-07-01,P005,265,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2023-08-01,P005,270,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2023-09-01,P005,275,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2023-10-01,P005,350,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2023-11-01,P005,370,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2023-12-01,P005,280,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2024-01-01,P005,285,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2024-02-01,P005,290,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2024-03-01,P005,295,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2024-04-01,P005,300,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2024-05-01,P005,305,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2024-06-01,P005,310,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2024-07-01,P005,315,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2024-08-01,P005,320,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2024-09-01,P005,325,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2024-10-01,P005,400,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2024-11-01,P005,420,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2024-12-01,P005,330,Beauty,Skincare,Lakme,Central,800,0.12,4.7
2020-01-01,P006,200,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2020-02-01,P006,210,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2020-03-01,P006,220,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2020-04-01,P006,230,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2020-05-01,P006,240,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2020-06-01,P006,250,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2020-07-01,P006,260,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2020-08-01,P006,270,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2020-09-01,P006,280,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2020-10-01,P006,400,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2020-11-01,P006,450,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2020-12-01,P006,300,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2021-01-01,P006,310,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2021-02-01,P006,320,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2021-03-01,P006,330,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2021-08-01,P006,380,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2021-09-01,P006,390,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2021-10-01,P006,500,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2021-11-01,P006,550,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2021-12-01,P006,400,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2022-01-01,P006,410,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2022-02-01,P006,420,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2022-03-01,P006,430,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2022-04-01,P006,440,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2022-05-01,P006,450,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2022-06-01,P006,460,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2022-07-01,P006,470,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2022-08-01,P006,480,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2022-09-01,P006,490,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2022-10-01,P006,600,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2022-11-01,P006,650,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2022-12-01,P006,500,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2023-01-01,P006,510,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2023-02-01,P006,520,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2023-03-01,P006,530,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2023-04-01,P006,540,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2023-05-01,P006,550,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2023-06-01,P006,560,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2023-07-01,P006,570,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2023-08-01,P006,580,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2023-09-01,P006,590,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2023-10-01,P006,700,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2023-11-01,P006,750,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2023-12-01,P006,600,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2024-01-01,P006,610,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2024-02-01,P006,620,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2024-03-01,P006,630,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2024-04-01,P006,640,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2024-05-01,P006,650,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2024-06-01,P006,660,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2024-07-01,P006,670,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2024-08-01,P006,680,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2024-09-01,P006,690,Appliances,Washing Machines,LG,North,25000,0.15,4.7
2024-10-01,P006,800,Appliances,Washing Machines,LG,North,25000,0.15,4.7
